,Review_title,Review_text,Ratings
5850,Super!,Awsome handeset ❤,5
5851,Classy product,Best mobile,5
5852,Excellent,Very nice phone love Oppo,5
5853,Mind-blowing purchase,"Performance and build quality gives a premium feel.
Camera below average though",5
5854,Terrific,Excellent budget mobile,5
5855,Highly recommended,Good,5
5856,Perfect product!,Awesome camera quality,5
5857,Really Nice,Good phone.,4
5858,Worthless,"Very poor camera quality, don't buy, electronics products from Flipkart. They don't have any return and refund policy.",1
5859,Great product,"awesome phone
value for money",5
5860,Useless product,"#Camera Result very bad that Recommended 50 Mp
Very poor result",1
5861,Worst experience ever!,Oppo has fooled the customer quite well in the name of Supervooc with 33 watts,1
5862,Wonderful,Good,5
5863,Just okay,"Overall the phone is good.. battery backup is good. Fast charging..no heating problem..

One thing that disappoint me is the Camera.. it's not satisfactory as expected..",3
5864,Best in the market!,Good mobile 📱📱📱📱,5
5865,Wonderful,Good,4
5866,Worth every penny,Very good,5
5867,Value-for-money,Good,4
5868,Mind-blowing purchase,Best Mobile For Current Year,5
5869,Awesome,Best quality products,5
5870,Terrific purchase,Good,5
5871,Good quality product,Best mobile,4
5872,Value-for-money,Good,4
5873,Terrific purchase,Great...,5
5874,Really Nice,Good,4
5875,Great product,Camera and betrray performance too good,5
5876,Nice product,Nice phone...,4
5877,Super!,Nice product,5
5878,Best in the market!,Very good phone I am so happy,5
5879,Super!,Nice,5
5880,Decent product,This phone should have amoled display and the camera should have been better but it is good.,3
5881,Must buy!,Thanks Flipkart,5
5882,Mind-blowing purchase,Excellent phone in this price crossed my expectations,5
5883,Highly recommended,Good phone,5
5884,Excellent,Super,5
5885,Excellent,Good,5
5886,Decent product,Average,3
5887,Terrific purchase,Good mobile lite weight,5
5888,Must buy!,excellent,5
5889,Classy product,Good good,5
5890,Perfect product!,Very Nice Looking 😀 And Future,5
5891,Awesome,"Awesome product,But camera zooming can't take place at 50 MP , This is the only drawback of this phone.Rest of the things are awesome",5
5892,Worth every penny,Nice,5
5893,Awesome,Very nice ..good product .. thanks for Flipkart for arriving in 2 days .,5
5894,Good quality product,Condition super camera and network speed super,4
5895,Really Nice,Better choice,4
5896,Nice product,Super,4
5897,Awesome,It's a good budget phone,5
5898,Fabulous!,Best phone ever in 17k,5
5899,Worth the money,Good,4
5900,Awesome,Best in segment product,5
5901,Excellent,Nice phone 🙂📱,5
5902,Super!,beautiful,5
5903,Awesome,Nice like it,5
5904,Worth every penny,"Very happy I am
satisfied",5
5905,Really Nice,Good quality,4
5906,Worth the money,Good,4
5907,Terrific,"I write this review after using 5days. Really, just awesome about its performance...",5
5908,Classy product,Superb phone,5
5909,Wonderful,"Nice to use and overall nice phone .
Camera only not that expected level
Good battery back after 3days of using my phone",4
5910,Good choice,Not bad,4
5911,Mind-blowing purchase,Super,5
5912,Worth every penny,Super,5
5913,Value-for-money,As per Discribed Very good Device.,4
5914,Brilliant,Ok,5
5915,Fabulous!,Very nice 👍👍👍👍👍👍 I am happy,5
5916,Perfect product!,Amazing product 🥰,5
5917,Simply awesome,Good,5
5918,Mind-blowing purchase,Awsom phone,5
5919,Best in the market!,Good,5
5920,Worth the money,Nice pone,4
5921,Classy product,Nice phone ..nd mst features.,5
5922,Terrific purchase,Cam quality not met the expectations... Overall good purchase... Worth product.,5
5923,Horrible,Battery. Backup very poor,1
5924,Terrific purchase,Nice products,5
5925,Pretty good,Nice one for oppo,4
5926,Good quality product,good,4
5927,Worth every penny,Great superb,5
5928,Just wow!,Nice phone📱 battery backup nothing,5
5929,Awesome,"Very nice device best device,is very handy",5
5930,Super!,"Awesome product, camera is very good, fast charging, smooth touchscreen, delivered as per schedule.",5
5931,Worst experience ever!,Very Bad Product Every day one one issue is created Don't Purches this product,1
5932,Not recommended at all,Worst camera,1
5933,Not good,Poor camera performance,2
5934,Wonderful,its was nice phone,5
5935,Super!,Awsome handeset ❤,5
5936,Classy product,Best mobile,5
5937,Excellent,Very nice phone love Oppo,5
5938,Mind-blowing purchase,"Performance and build quality gives a premium feel.
Camera below average though",5
5939,Terrific,Excellent budget mobile,5
5940,Highly recommended,Good,5
5941,Perfect product!,Awesome camera quality,5
5942,Really Nice,Good phone.,4
5943,Worthless,"Very poor camera quality, don't buy, electronics products from Flipkart. They don't have any return and refund policy.",1
5944,Value-for-money,"Nice battery backup, good camera and also a good display. For daily use phone is smooth and perfect.",4
5945,Wonderful,"I got the product at my door step in 16 hours after ordering so thank you flipkart for this excellent delivery. I have used it for 3 days and now writing my review:
Pro:
1. Battery is brilliant and perfect for people who spent lot of time on multimedia
2. Display 90hrz is very smooth and good looking. Didn't feel the absence of Full HD actually better than full HD IPS displays.
3. Samsung One UI
4. Look & feel. Very comfortable to hold. Background Matt finish no fingerprint
5. Primary camera...
READ MORE",4
5946,Good choice,"Good product in this price segment....looks like a premium smartphone.... performance is up to the mark ..... according to me , this device is perfect for the students who are doing the online classes.....don't expect high from camera or performance....",4
5947,Highly recommended,"Best mobile in this price range.. best batry bacup camra quality is also good, no lag, much better quality, littile bit less in feathures if compared to readme series.. bt overall mindblowing mobile...i m much satisfied..",5
5948,Wonderful,"This mobile gives me all things which i was found at this price. Camera, battery , Display and Many which gives me sacrifice at its price. So i really happy that samsung lover can afford in this price and gets best feature.",5
5949,good purchase,"if you are moderate user like, social media, watches some videos, and play games for fun, then this phone is for you, it not that expensive too. camera is awesome clicks amazing photos with back camera. selfie camera is good too for facetime and all. battery is outstanding but it takes 2 hrs to full and has good backup it will run throughout day if you use it heavily( not for gamers) Trust me you wont regret go for it.",4
5950,Mind-blowing purchase,"●Camera - 4/5
■ In this price range Camera is good.
●Screen - 4.5/5
■samsung as balanced phone pixels smartly by reducing horizonal screen lenght , So that the difference between full hd + and hd+ feels minimum...
Battery - 5/5 . 6000 mah battery with adative battery usage .
●Processor - 4/5
■mediatek helio 680 will not dissapoint you if you are not a gamer.
●Design and look - 5/5
■look is premium and phone is slim and sleek .

Flipkart has delivered this phone within 24 hr which is unimagin...
READ MORE",5
5951,Must buy!,"This mobile is a beast.... wonderful mobile for daily use. Smooth and clear display. Camera is awesome,out door photography is really great, but the low light and indoor selfie should improve more, 90hz display is super and smooth. Speaker sound should improve more, the only lack in this mobile is it dosent have NFC and Back case not provided.. battery is awesome will last for 2 days.performance also great but not for heavy gaming.",5
5952,Wonderful,"I bought 4gb/64gb variant and that is superbly good.
1)Display will not disappoint you at all , Samoled with 90hz feels very smooth compared to that 120hz redmi note 10 pro.If you are a normal user then you will not find any difference between FHD+ and HD+ display ,so for me that is not a con.
2) Battery life is amazing .
3) Performance,I will say that for normal usage at 90hz it feels smooth but if u want gaming then plss look our for other devices.
4)Camera was superbly good too considering...
READ MORE",5
5953,Best in the market!,"Keeping in view the mid range level of entry samsung has made his presence felt within the masses. Camera and display are surprisingly good at this price range. Super amoled with hd well configured which is pleasing to the eye for long viewing. 64 gb storage which can be increased. Media tek helio 80 an old processor though does daily multitasking with ease. No lagging felt till now. Hope regular software updates will dissolve any issue if props in future. Build quality is impressive too with...
READ MORE",5
5954,Value-for-money,"Nice battery backup, good camera and also a good display. For daily use phone is smooth and perfect.",4
5955,Wonderful,"I got the product at my door step in 16 hours after ordering so thank you flipkart for this excellent delivery. I have used it for 3 days and now writing my review:
Pro:
1. Battery is brilliant and perfect for people who spent lot of time on multimedia
2. Display 90hrz is very smooth and good looking. Didn't feel the absence of Full HD actually better than full HD IPS displays.
3. Samsung One UI
4. Look & feel. Very comfortable to hold. Background Matt finish no fingerprint
5. Primary camera...
READ MORE",4
5956,Good choice,"Good product in this price segment....looks like a premium smartphone.... performance is up to the mark ..... according to me , this device is perfect for the students who are doing the online classes.....don't expect high from camera or performance....",4
5957,Highly recommended,"Best mobile in this price range.. best batry bacup camra quality is also good, no lag, much better quality, littile bit less in feathures if compared to readme series.. bt overall mindblowing mobile...i m much satisfied..",5
5958,Wonderful,"This mobile gives me all things which i was found at this price. Camera, battery , Display and Many which gives me sacrifice at its price. So i really happy that samsung lover can afford in this price and gets best feature.",5
5959,good purchase,"if you are moderate user like, social media, watches some videos, and play games for fun, then this phone is for you, it not that expensive too. camera is awesome clicks amazing photos with back camera. selfie camera is good too for facetime and all. battery is outstanding but it takes 2 hrs to full and has good backup it will run throughout day if you use it heavily( not for gamers) Trust me you wont regret go for it.",4
5960,Mind-blowing purchase,"●Camera - 4/5
■ In this price range Camera is good.
●Screen - 4.5/5
■samsung as balanced phone pixels smartly by reducing horizonal screen lenght , So that the difference between full hd + and hd+ feels minimum...
Battery - 5/5 . 6000 mah battery with adative battery usage .
●Processor - 4/5
■mediatek helio 680 will not dissapoint you if you are not a gamer.
●Design and look - 5/5
■look is premium and phone is slim and sleek .

Flipkart has delivered this phone within 24 hr which is unimagin...
READ MORE",5
5961,Must buy!,"This mobile is a beast.... wonderful mobile for daily use. Smooth and clear display. Camera is awesome,out door photography is really great, but the low light and indoor selfie should improve more, 90hz display is super and smooth. Speaker sound should improve more, the only lack in this mobile is it dosent have NFC and Back case not provided.. battery is awesome will last for 2 days.performance also great but not for heavy gaming.",5
5962,Wonderful,"I bought 4gb/64gb variant and that is superbly good.
1)Display will not disappoint you at all , Samoled with 90hz feels very smooth compared to that 120hz redmi note 10 pro.If you are a normal user then you will not find any difference between FHD+ and HD+ display ,so for me that is not a con.
2) Battery life is amazing .
3) Performance,I will say that for normal usage at 90hz it feels smooth but if u want gaming then plss look our for other devices.
4)Camera was superbly good too considering...
READ MORE",5
5963,Best in the market!,"Keeping in view the mid range level of entry samsung has made his presence felt within the masses. Camera and display are surprisingly good at this price range. Super amoled with hd well configured which is pleasing to the eye for long viewing. 64 gb storage which can be increased. Media tek helio 80 an old processor though does daily multitasking with ease. No lagging felt till now. Hope regular software updates will dissolve any issue if props in future. Build quality is impressive too with...
READ MORE",5
5964,Very Good,Superb phone with superb look and quiet wonderful performance..fully satisfied with this great purchase from well prominent brand samsung...,4
5965,Really Nice,"Display is amazing, although it has HD+ sAmoled u cant find any issue in day to day life
Performance is not as much good .but if u r not a havy user then it is okay
The most loving thing about this mobile is its OS. ONEUI core 3.1 .. u can feel the smothness better than realme and redmi .. and its keyboad also impressed me
When talk about camera ..i cant say very good but decent ..",4
5966,Brilliant,The best cheapest AMOLED phone available in indian market. Everything good but compared to MIUI Samsung UI is not that great. Rest Hardware wise all good. Better than Realme and Redmi devices,5
5967,Very Good,"⭐⭐⭐⭐/ 5
Overall this device is value for money 💰..
Camera is good as compared to other brand (realme, mi, vivo) at this price range .
Battery is massive.
Display is good , this is HD amoled screen which give you true colour in screen as compared to other brand.
6.4 inch screen is perfect for me..
Build quality is very good",4
5968,Really Nice,Good phone... Nice camera... Great battery life .. almost 44 gb of free space is available after pre-installed apps(for 64 gb model),4
5969,Mind-blowing purchase,"Samsung delivered a phone at his best for this price.
Camera is good as per the cost and you can not expect more
SAMOLED very good display
Notifications are up to the current trend
Batter is good since 6000 mah power
I don't want to go for china product so I always go for non-china makers
Go for it!",5
5970,Very poor,"Samsung f22 is not good work my fone not work sim card , all time out of coverg , i have change sim card but not short out problem , and now toch is not work many time , going to switch of side 3buttan and start after work toch",1
5971,Worth every penny,First time usage samsung mobile...all company use mobile...but samsung galaxy first time usge....very good phone f22... battery backup good... display amoled very colourful display very nice phone samsung galaxy f22....camera clearity very nice....iam happy samsung mobile......thanks ekart very fast delivery. On two days. Thanks all......,5
5972,Super!,very nice mobile in this price range. if screen had FHD then it would have been great one. decent camera and performance. screen quality is just superb. you can go for this. video recording quality too bad.,5
5973,Slightly disappointed,"Everything in this mobile is pretty good and android is lovely. A very bad experience from samsung. Network problem is really unacceptable. In the area where network is very high in this area it is saying out of network coverage area. At all, not happy with the performance of the mobile. I was very excited bcoz this was my 1st ever samsung mobile till now.",2
5974,Really Nice,"My personal opinion
1. Camera - 3.5/5
2.Display- 4/5
3. Battery - 4/5
4. Performance - 4/5
5. Gaming Experiance - 3.5/5 (PUBG COD)
6. Sim Network reception - 4/5 (No 4G+ Support)
7. External speaker quality- 3.5/5
8. No lag or freezing issue
9. Battery Charging time @ 2 hours and 30 min.
10. Battery Discharge time @ 1.5 Day (For moderate user)
10. All sensors are work Perfectly
11. Super amoled Display with 90 Hz Refresh rate great combination",4
5975,Worth every penny,Best part of the phone is one ui experience. Don't go for redmi phones which shows hardware gimmicks. This phone is best at this price range. Image processing is overall good and performance is excellent. Battery backup is too good. Easily last for two days and more with normal usage. No heating problem on high brightness. Phone is comfortable to hold and weight distribution is fairly done.,5
5976,Just wow!,"Value for money good mobile in this range buy it.

But Samsung service centers should be improved in terms of service.

Else flip kart is best in services as well as in products,some items are too high price else overall good.",5
5977,Classy product,"Samsung F22 fabulous budget Phone
1-battery performance great
2-Display good Super Amoled with 90Hz Combination HD+but Quality decent.
3 - helio G80 power full
4-Built-in plastic but better quality
5-light weight
6 - call quality good Ear sound loud britness sunlight No any problem",5
5978,Classy product,"Nice phone .......
I rated it with 5 star in battery 🔋Its charging is very fast .. nice ...baterry + charging
4 star in camera .....
4 star in performance .......
5 star in diplay ..its display is very good and smooth .....
Its sound quality is good but not high loud but very good 👍।।
Its camera is some less than better filter camera ...because its selfie 🤳. Camera is not give.a brighter selfie ...but good for boys .😀😂😂😂. .... But for the girls it can be Some less good for ...
READ MORE",5
5979,Simply awesome,"Best product
My detailed review
pros
1)Amoled display is best
2)smooth because of refresh rate
3)optimized software and permission management
4)back camera is very good......photos did not grain even with 10x zoom.
5)Many useful features like qr scanner,samsung notes are there.....even you are getting samsung pay mini
6)Oneui 3 is far better than miui.......in case of optimization,customization and cleanliness......means ads do not bother you much.
7)best audio quality on earphone with dol...
READ MORE",5
5980,Good,"Pros:
Excellent battery life
Display has punchy and pleasing colours
Not much heating issues
Satisfactory rear cams
Call quality is acceptable most of the time
Cons:I bet it's not a true HD display.
My 4 year old J7 NXT has way better sharpness
than this phone.
No carrier aggregation.So 4G speeds are limited in both SIMs.
Sad thing is that MTek Helio G80 supports CA but Samsung purposefully omitted the same.
Spammy notifications.
I doubt the so called KNOX is actually working in it or not.
90...
READ MORE",3
5981,Worth the money,"Battery🔋 backup is pretty good, though fast changing isn't actually fast enough to charge this 6000 mah battery. Camera could have been far better for this 48 MP lense. Phone performance is pretty good. Front camera 📷 is only average. Can opt this out if battery life and display quality only matters for some standard budget branded phone.",4
5982,Terrific,"Very nice phone, has awesome camera quality.
I m totally impressed. Battery backup is great.
But it comes with many inbuilt apps, so it occupies around 10GB of storage..
Overall nice mobile at this price range 👍",5
5983,Worth the money,Using this phone for past 3months. No issues..camera is quite good. Macro photographers won't be disappointed. No heating issue. Charging takes around 2hrs. Display is quite crisp with bice viewing angles. Brightness is bit on lower side. Over all a trusted brand which provides good speed..ram ..everything. fully satisfied.,4
5984,Perfect product!,"It's a good device for moderate user. Battery stay more than 1 day with power use. Overall good package. Go for it.

Stay away if
1. Looking for gaming centric phone
2. Love multitask
3. Show_Shah panti means to show off.
4. Looking for light phone.

Good to go if-
1. Remember galwan valley attack. Other chinese company offer g95 processor in this price range but that price go in chinese mouth and might kill our sodiers in future.
2. Samsung Trust. After sales service is best.
3. Almost Cle...
READ MORE",5
5985,Great product,"Good Budget phone.

Pros
1) Super Amoled Display
2) Awesome Battery Usage
3) Expandable storage via SD card.
4) All main sensors available
5) Dual band fast Wifi
6) USB otg
7) FM radio with recording.
8) Fastest fingerprint with side-mounted (best location for fingerprint sensor)
9) Dolby Atmos !!

Cons
1) Good Cameras but no stabilization provided.
2) No LTE+ support. SAMSUNG must also give this in all low-end & mid Budget phones.
3) G80 Processor (G95 would have been better)
4) 15 W charger...
READ MORE",5
5986,Wonderful,"Best performing product, design, display realy looks cool and also built quality best, samsung UI works good, camera department need improvement, EIS need improvement, overall best package at this price range, I like it 👌",4
5987,Nice,Its a good allrounder smartphone but if you are looking it just for display purpose its display is decent but not the best. So for better display go for m21 2021 edition but you have to compromise on performance and 90hz refresh rate there.,3
5988,Terrific purchase,"Reviewing after a week of use, first my use is only limited to YouTube, light gaming along with heavy calling. Battery backup is just amazing in one full charge it will stay upto 48 hrs which includes 8 hrs YouTube watching and gaming. This phone is for users like me who used it for binge watch as display is very good for watching videos. Sounds great when used with headphones 🎧 as it has dolby atmos feature.",5
5989,Perfect product!,Amazing phone in budget only only problem If Get Helio 88 with 500 hundreds no problem than this become also good time pass Gamer phone people like it so much otherwise it is still good phone for time pass Gamer smooth with ultra run well not much legs but yes some Samsung did better work this time others Samsung phone out of budgets if we see at their prices,5
5990,Delightful,"Overall smartphone is good
Camera battery performance are good
Ui can be improved and alot of useless app are pre-installed which is not required
Charging take above 2 hours with the provided 15w charger
If they provided 20w or more it's will be the best for 6000mah",4
5991,Really Nice,"After use 2 week,
1 Battery backup very good almost 2 day non stop if you are using internet.

2 screen good

3 camera good

4 touch is good

5 very late charging full battery charging time 2.5 hours no fast charging available

6 some mobile keyboard not working properly

7 Auto call recording available its very good feature

8 make in india phone boycatt china",4
5992,Terrific purchase.,"wonderful product, in terms of quality of software, the durability of the product, the user feels like using high-end mobile for this price range. Blindly go ahead with this product, u really love it while using it.

1. Product quality: 5/5
2. Display: 4.5/5
3. Battery: 5/5
4. performance: 4.6/5
5. camera: 4/5
6. Os: 5/5
7. Features: 5/5",5
5993,Must buy!,Good to go with F22.working fine without any issue..purchase for camera..and it's camera quality is too good in this price range compare to other phone. Bettery is also good...,5
5994,Wonderful,Good phone and you loved it if you use it in daily life. It is complete overall balance phone and i am using it right now around 15 days and i believed it will run long due to it's overall balance performance.,5
5995,Best in the market!,"This mobile is very good. Camera and and battery quality very good performance of this phone is very good overall very good phone at cheapest price.
I like this mobile phone. Video quality very good. You can purchase this mobile.",5
5996,Good choice,"Ordered Samsung F12 for my mother back in June. My wife wanted a same phone but we ended up buying F22 this time. I must say I wasn't expecting this. Display is far better than F12. Camera is substantially better & phone is smaller & lighter compared to F12. It you are in this price range, buy this without a thought rather than Chinese owned brands who might take away your privacy & security by giving you gimmicky 100MP cameras & what not.",4
5997,Brilliant,"Today I have received the phone through wishmaster. As I see that in this budget I really got a great phone. Samsung is the king of Androids.
Phone is very smooth to operate. I don't play games so no comments on that but for my use like official or personal use it is the best phone ever.

Thank you Flipkart for delivery the pproduct on time.",5
5998,Wonderful,"Good display, battery good, camera ok for price. but if u r claiming as 48 mp then came should be good. Flipkart packing should improve no bubble wrap? Overall good buy.",4
5999,Best in the market!,"Best class camera sensor , awesome display with super amoled, android 11and best performance.",5
6000,Terrific,"If you are planning on to buy a budget smartphone this can be one !! Though the display could be better .
But at this price point we can adjust with it . The super amoled and monster battery takes it to next level . If you are a normal user it can be one of the best in the market . However with the chipset it is coming , it is not recommended for gamers .
Hope my review will be helpful 🙏🏻✨: )",5
6001,Pretty good,A best phone to buy. True samsung quality. Must buy. Speed was good and all features was awesome . But sound is very very poor. Sound -1/5.,4
6002,Worth the money,"Awesome Deal!!

I got this phone at 10749, with axis bank card, flipkart delivered this order within 2 days. The design of this phone is really eye catching and display is so smooth, about the performance, if you are not a heavy gamer this is perfect smartphone for you. One of the best thing in this phone that is UI of this phone.

So don't think too much and if your budget is Under 12 k you can go for this because it's the best phone under this price range.",4
6003,Brilliant,Ofc you can get better phones at this price but take example for mi you get tons of bloatware and aware so it's not worth it this can game fine I played games on high graphics and it was smooth very good battery and okay camera but for the price portraits are great!!!.and after 2 days of use I love it!,5
6004,Unsatisfactory,"Camera quality is not good enough at this this price range... Specially selfie...
Sound quality is good...
You can't play Free fire easily without good tempered glass...",1
6005,Classy product,"On this budget, phone is the best everything is ok like camera, battery and performance. I recommend this phone. So first time I have given 5 star,..Thanks for flipkart fast services.",5
6006,Useless product,"I got this mobile at about 13000 but this is not as much as I expected at this price range because samsung company is so miser not even given a case or a screen gaurd and also not giving a good charger ,the wire is also small and the plastic of wire and charger is also not as good as other mobiles charger has and
it's claiming 90hz refresh rate display but it's not like that nor interesting themes or those which are good are paid ,it also have no features about like ultra gaming mode ty...
READ MORE",1
6007,Awesome,"Awesome product in this price range..
1. camera quality is awesome
2 Battery is good
3. Lag is negotiable
4. Best in this price range.... After a long time go for samsung
I bought for my father... Loved it!",5
6008,Moderate,"One buys samsung mobile for blotware free experience but I have to say that my experience with samsung is ruined.

Samsung should stop blotware installation through galaxy app. It's very annoying that without your permission galaxy app installs so many blotwares even you uninstall it.

It's camera previews photo in filter/artificial/enhanced mode but when you click the photo and see it photo comes close to natural mode. It's like showing enhanced photo in preview mode convert it into natural....
READ MORE",2
6009,Best in the market!,"Its a great device in this range better than all Chinese phones in market which knox protection and amazing 90 hz led display , trust me way better than all chinese 1080p . Processor is good enough to handle all day activities and thanks to Samsung ram management which is better than redmi realme craps... its a brand and trust to go ..",5
6010,Super!,"Great camera with crisp colours
fluid and vivid screen
Battery gives great backup
Performance is good
Overall best phone at this price",5
6011,Terrific purchase,I recently purchased this Samsung Galaxy F22 from flipkart. This is the best value for money smartphone with best specification priced very agressively. This is the smartphone for students who are attending online classes these days. Battery backup is very very good and even the camera is also very good. Thanks flipkart delivery team for super fast delivery.,5
6012,Terrific,Very good phone by Samsung really wonderful phone of its price battery backup is very good display is amazing and good performance.,5
6013,Classy product,"90Hz super amoled display is super smooth some youtubers says it's a gimick, well it's not! Awesome Smartphone for Samsung Lovers❤️😍",5
6014,Could be way better,"# Battery not like 6000.its 1day regular use...
# not sure to use in 2nd day.
# display is small i'm not satisfied about.
# sound level is low...
# charging point also headset point need to be top side when using the headset it irritated...
# bold option is not available when typing data.
# charger + cable quality is not good.
# when unboxing the mobile, packing not like professional
Like someone to repacking.
# i'm not happy to purchase F22...samsung compromising about quality, not maint...
READ MORE",2
6015,Delightful,"Great specs at great prices. Only complain: lot of bloatware; and you're not allowed to uninstall a lot of them. There are 2 Messages app, one from Google and another from Samsung and you can uninstall nither. Although 2 major Android updates are promised, the phone runs on Android 11, with security patch from May (this is August 3). Other than that, decent camera, good battery life that gets charged pretty quick with in-box charger, good vibrant screen and smooth performance with Helio G80 (...
READ MORE",4
6016,Hated it!,Wrost product.chaina product is so much better from Samsung. Don't West your money. The display is very poor. Mi 9i is far better from Samsung f22. Network issue. maximum time is not reachable in the day. Phone is very slow.,1
6017,Wonderful,"At This Price Budget 6000Mah + SAmoled+ 90hz Is Great
Performance Also better For Mid Range Users
Build Quality Excellent
Choose it If your budget is 12 to 15k
Coz, it's Build Quality Is Superb By Comparing Other brands In This price segment
Overall Rating🔥
Camera:- 7/10 ( Don't Expect Much…But It's performing well as Its range)
Performance:9/10 (MTK G80 Processor Works Best)
Battery:10/10🖤
Build Quality:10/10
Speaker and calls Quality :10/10
No Issues At all
It Is Performing As It's Capac...
READ MORE",5
6018,Best in the market!,"Great phone for this price range.

- Amazing battery life
- Great display (OLED with high refresh rate is better than high resolution)
- Camera and speakers are decent
- It comes with preloaded appa but they can be uninstalled",5
6019,Must buy!,"Hardy And Handy Stylish Mobile with Fab Camera.Processors could have have been slightly better.
But mobile has finger touch on Side key. IF That be in back side that will be better. And mobile has some 'Hanging' issue. It is only my 1st days but i have already faced that.",5
6020,Nice product,"Phone is quite good … and the only good option at tjis price if you don’t wanna buy Realme and Redmi…

Pros:
Amoled Display
6000mah battery
Decent cameras
Corning Gorilaa glass

Cons:
Display not Full HD
Excessive bloatwares like mx takatax moj , and they keep comming back ..
plastic back ……",4
6021,Brilliant,"As per price point....

Camera - 9/10
Display - 10/10 (beautiful amoled Display comparable to even my galaxy A70 in less than half the price... samsung always does get perfect 10 on display)
Performance - 8/10 surprisingly good with that exenos chip, Gaming also on medium settings Pubg Can be played Without any lag, tried for 4 hours straight no Frame drop...
Security - 9/10 (since it's samsung )
Software updates - for 3 years. Every 3 month a new update..... This is insane for such budget...
READ MORE",5
6022,Awesome,"I have using this product for 6 months. The performance of the phone is very good. The camera is best in this price range. Design, interface & speed is top notch 👌 Worth buying it.",5
6023,Good choice,"Superb battery works for around almost 2 and 1/2 days. Display is ok not so great, coming to camera the quality of front camera is good but detail is missing, the back camera quality is superb but night camera is not so great. Overall nice to have this one with big battery.",4
6024,Delightful,"Over all Avergae phone giving my feedback on the basis of 10 day use.
1. Camera is good front and back both but you can't feel like 48MP, can Rate 4/5.
2.Battery life is quite good overall improved can Rate 5/5.
3.phone is hanging if you are going to use heavily 4-5 app same time, can Rate 3/ 5 for functionality.
4.Also it have heating problem if you are playing video more than 1hrs.can give 3/5.
5.overall you can give 3.5/5, value for money",4
6025,Awesome,Best mobile in range...,5
6026,Must buy!,Pictures is good quality. Good camera.,5
6027,Excellent,Excellent mobile quality 😍😍😍,5
6028,Awesome,Superb,5
6029,Awesome,osm phone in this segment,5
6030,Nice product,"High recommend camera best
Battery pickup nice",4
6031,Must buy!,"I love this mobile super bettary backup।
I love samsung",5
6032,Simply awesome,Awesome mobile in this price 👍🏻,5
6033,Classy product,Good one ☝️ awsm product..!!♥️,5
6034,Terrific purchase,"Fastest Delivery for ever, Good product, value for money",5
6035,Great product,Good budget mobile,5
6036,Excellent,"Great smartphone in this price range.
Awesome UI.
Smooth Display.
Writing this after 5 days of usage.",5
6037,Really Nice,Best budget phone in this price range. Camera quality is good. Touch is very smooth. Slightly heavy. Battery performance is good.,4
6038,Terrific purchase,Good budget segment mobile phone,5
6039,Really Nice,This mobile display is amazing and camera quality super and 90 hz smooth experience by helio g80 processer.,4
6040,Classy product,Superb quality,5
6041,Must buy!,"First of all amoled display is awesome 🤩
Great battery 🔋
Decent camera clarity📷
And small disappointment samsung phone comes with 15 watt charger but it is excellent device for mid range value",5
6042,Fabulous!,Value for money,5
6043,Worth the money,Ultimate Mobile in this price...,4
6044,Terrific,Very nice camera 👌👌👌big quality,5
6045,Budget phone cover all essential feature,"I own Galaxy M31s as my first Samsung phone after using all Chinese variant since last 10 year.
This one is brought for Mom and found 8 out of 10 feature when compare with Samsung M31s.
Look n fill is as same as m31s except Camera resolution, RAM, Storage, Display sharpness and couple of feature exclusively in M31s
Good battery backup.

Cons.
Charging cable size is little short.
Back designed can be little classy , but this is not much relevant as people normally use back cover it is mostly...
READ MORE",5
6046,Terrific,Nice Phone 📱👌,5
6047,Very Good,Good perfrmance,4
6048,Awesome,"Best phone 🤳 in this budget. Thanks to Samsung and flipkart as well. Excellent in every department like camera 📷 battery 🔋 performance 👏. Only speaker is on downside not a loud otherwise best.

Camera 📷 5/5.
Battery 🔋 5/5.
Performance 5/5.
Display HD+ 5/5.
Speaker 4/5.

It is purely true review.",5
6049,Very Good,"Great product, battery is outstanding.",4
6050,Decent product,Phone is very good,3
6051,Just wow!,Very good performance good price,5
6052,Highly recommended,"Camera 10/10
Battery backup 10/10
Display 9/10
Over all performance 9/10
Best phone in this budget",5
6053,Wonderful,Good and cheapest product,4
6054,Very Good,Superb phone with superb look and quiet wonderful performance..fully satisfied with this great purchase from well prominent brand samsung...,4
6055,Really Nice,"Display is amazing, although it has HD+ sAmoled u cant find any issue in day to day life
Performance is not as much good .but if u r not a havy user then it is okay
The most loving thing about this mobile is its OS. ONEUI core 3.1 .. u can feel the smothness better than realme and redmi .. and its keyboad also impressed me
When talk about camera ..i cant say very good but decent ..",4
6056,Brilliant,The best cheapest AMOLED phone available in indian market. Everything good but compared to MIUI Samsung UI is not that great. Rest Hardware wise all good. Better than Realme and Redmi devices,5
6057,Very Good,"⭐⭐⭐⭐/ 5
Overall this device is value for money 💰..
Camera is good as compared to other brand (realme, mi, vivo) at this price range .
Battery is massive.
Display is good , this is HD amoled screen which give you true colour in screen as compared to other brand.
6.4 inch screen is perfect for me..
Build quality is very good",4
6058,Really Nice,Good phone... Nice camera... Great battery life .. almost 44 gb of free space is available after pre-installed apps(for 64 gb model),4
